customer_id,email,first_name,last_name,phone,address,city,state,zip_code,country,registration_date,customer_segement,lifetime_value
1,johnsonjoshua@example.org,Donald,Garcia,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,Colorado,50298,USA,2024-03-01 06:29:15,New,1202.18
2,melanie94@example.org,Jessica,Herrera,(518)349-5931x0341,7525 Clark Grove Apt. 928,East Steven,Louisiana,84387,USA,2025-06-03 15:49:56,New,2822.79
3,gabriellecameron@example.org,Jeremy,Johnson,564-613-9537x67242,653 William Course Apt. 122,Carlsonfurt,Missouri,78605,USA,2024-12-14 16:38:45,VIP,1481.43
4,tasha01@example.net,Nicole,Potter,001-551-446-2704x82814,88095 Smith Lake Suite 303,North Jessicaland,Wisconsin,70323,USA,2025-08-02 23:45:07,VIP,6799.32
5,davidalvarez@example.net,Frederick,Rose,+1-563-583-4657x871,0983 Adrian Station,East Carloston,Michigan,09788,USA,2025-01-19 12:07:42,New,960.69
6,joshuawashington@example.net,David,Walls,001-897-737-6311,7010 Chandler Union Apt. 333,Taylorburgh,Louisiana,61138,USA,2024-06-28 04:17:35,Regular,414.65
7,ramosmichelle@example.net,Corey,Pearson,+1-801-232-6773,0647 Henderson Street,Mooreport,Indiana,08166,USA,2025-03-11 00:16:00,VIP,2264.52
8,adkinsbrian@example.net,Thomas,Calhoun,220.381.2191x36193,998 Donovan Ford Suite 346,Lake Debbie,New Jersey,41942,USA,2025-12-07 17:43:13,New,6059.99
9,smithchristine@example.net,Wendy,Jones,484.925.1354,808 Huynh Cove Apt. 411,West Juan,Indiana,94559,USA,2024-09-08 11:18:55,New,2068.49
10,gracefarrell@example.net,Tracy,Whitehead,4169400524,011 Amy Village Suite 982,Andersonport,Mississippi,05730,USA,2025-11-14 08:44:00,New,7043.12
11,jason31@example.com,Kimberly,Henson,(392)832-2602x56342,3375 Hoover Well,East Andrew,Illinois,52728,USA,2024-08-28 02:48:35,Regular,2282.36
12,michelle45@example.net,William,Frazier,+1-350-814-2940,569 Paul Ports Apt. 406,New Saraside,Utah,94798,USA,2025-12-16 11:20:18,New,2854.09
13,michaeljones@example.net,Samantha,Hanson,+1-414-684-6564x82366,044 Russell Prairie Suite 777,New Thomas,West Virginia,22742,USA,2025-05-11 21:25:54,VIP,7612.19
14,campbellelizabeth@example.net,Matthew,Cardenas,001-534-833-2003x79176,3201 Robinson Unions Suite 083,South Dennismouth,Texas,70117,USA,2025-02-23 06:41:10,VIP,7011.58
15,stephanie79@example.net,Patricia,Simmons,+1-972-577-4348,1434 Flores Plains Apt. 223,Bensonborough,California,54878,USA,2024-10-28 17:45:59,Regular,2850.93
16,amy60@example.org,Marissa,Price,001-590-996-7054x66889,6706 Caldwell Union,Ramseymouth,Florida,82061,USA,2025-02-04 00:20:59,VIP,9576.41
17,meadowsbrittany@example.net,Anthony,Day,(772)704-6537,6417 Kaitlyn Center Suite 310,East Jamestown,South Carolina,20474,USA,2024-06-19 10:21:49,Regular,1111.88
18,thomaswilson@example.org,Steven,Scott,(829)891-2419x049,93149 Laura Port,West Amandastad,California,66818,USA,2025-05-03 02:38:41,Regular,1057.49
19,alexander67@example.org,Ryan,Cox,626.728.4987x769,47379 Rogers Park,Hunterborough,Minnesota,34363,USA,2024-09-06 11:56:22,Regular,6076.89
20,nicole48@example.org,Zachary,Lee,367.683.7770,3495 Tran Key,Barajasside,Michigan,46613,USA,2025-06-15 01:43:45,VIP,7324.34
21,qnelson@example.org,David,Lee,682-333-7498,3524 Jean Crossroad,Brandonton,Oklahoma,38791,USA,2025-06-10 20:21:57,New,1335.78
22,danamullins@example.org,Monique,Andrews,277.452.0471x1671,413 Angela Mall,Port Alexandra,New Hampshire,58529,USA,2024-08-04 02:37:39,Regular,880.12
23,ntorres@example.org,Chelsea,Singh,001-933-641-2328x12067,44713 French Road,South Danny,Iowa,85387,USA,2024-04-10 20:55:38,Regular,8311.11
24,margaret10@example.org,Laura,Larson,001-947-917-4648,065 Johnson Forks,Port Emilyview,Oregon,05774,USA,2025-07-31 20:56:47,New,8865.97
25,thomaspearson@example.com,Howard,Richards,+1-671-875-6551x2567,1545 Tara Lodge,Lake Mollymouth,Nebraska,07605,USA,2024-05-10 20:21:20,Regular,5815.79
26,cindy77@example.org,James,Dunn,377-510-9324x8086,1274 Perry Orchard,Sanchezside,Georgia,50778,USA,2024-05-13 04:47:54,New,788.6
27,michellehill@example.com,Matthew,French,704-849-9727x875,3396 Melissa Loop Apt. 576,Mcneilberg,New York,05353,USA,2024-03-24 04:57:52,New,2356.19
28,molly71@example.net,Renee,Smith,(362)717-4596,7809 Jimmy Spur Suite 316,Port Cynthiaville,New Hampshire,22306,USA,2025-06-08 04:40:58,Regular,9853.69
29,rebecca05@example.org,Kelly,Brooks,(838)569-2221,237 Stevens Shores Apt. 748,North Scott,Minnesota,77515,USA,2024-08-05 12:12:10,VIP,8678.19
30,dvaughn@example.com,James,Cruz,213.969.5944x0640,95339 Byrd Stravenue Apt. 104,Johnsonstad,Washington,17725,USA,2024-02-25 03:46:17,Regular,2851.94
31,mark62@example.org,David,Ryan,(488)542-4745x171,516 Joseph Crossing Suite 549,Carsonstad,Connecticut,88953,USA,2024-06-15 18:19:11,New,8357.69
32,jjohnson@example.com,Rose,Walker,974-361-2004,82675 Matthews Stream,South Diana,New York,81195,USA,2024-10-29 03:23:42,VIP,3764.79
33,antonio53@example.com,Sean,Young,(515)285-0643x171,3293 Maria Plaza,New Jason,Iowa,43565,USA,2025-08-09 14:50:24,VIP,6734.73
34,kristinacarlson@example.com,Michele,Thomas,(584)721-0205,40268 Julie Mountains,Stricklandhaven,Pennsylvania,14794,USA,2024-12-02 05:33:19,New,9372.88
35,soniawilliams@example.net,Adrienne,Ellis,3077661771,24998 James Ranch,Shawnchester,Connecticut,92484,USA,2024-03-15 00:23:47,New,806.88
