transaction_id,customer_id,customer_email,transaction_date,total_amount,subtotal,tax_amount,total_discount,payment_method,status,num_items,shipping_address,created_at
TXN-2a331249,83,candice25@example.net,2025-11-24 10:04:20.147763,900.35,833.6600000000001,66.69,6.21,credit_card,completed,2,"7116 Neal Wells Suite 775, Port Kimland, Washington 60590",2025-12-22 10:04:20.147763
TXN-7d04be35,83,candice25@example.net,2025-10-08 10:04:20.148762,3790.02,3509.2799999999997,280.74,261.39,credit_card,completed,9,"7116 Neal Wells Suite 775, Port Kimland, Washington 60590",2025-12-22 10:04:20.148762
TXN-25cdfac5,19,alexander67@example.org,2025-11-09 10:04:20.149762,371.41,343.9,27.51,19.24,credit_card,completed,3,"47379 Rogers Park, Hunterborough, Minnesota 34363",2025-12-22 10:04:20.150761
TXN-62482df7,50,zcox@example.net,2025-11-15 10:04:20.152761,7947.46,7358.76,588.7,1320.83,paypal,completed,6,"755 Hines Ports, New Michael, Massachusetts 85640",2025-12-22 10:04:20.152761
TXN-be693a7f,73,brian63@example.org,2025-11-17 10:04:20.154759,4881.59,4519.99,361.6,585.02,debit_card,completed,6,"431 Joseph Light, Lake Peter, Mississippi 14466",2025-12-22 10:04:20.155760
TXN-8e314a72,15,stephanie79@example.net,2025-09-26 10:04:20.156758,2556.4,2367.04,189.36,117.98,debit_card,completed,3,"1434 Flores Plains Apt. 223, Bensonborough, California 54878",2025-12-22 10:04:20.156758
TXN-dbba0343,45,brett75@example.net,2025-11-18 10:04:20.158758,1186.3,1098.43,87.87,55.24,google_pay,completed,3,"8536 Nicholas Burgs, Sarahmouth, Georgia 18536",2025-12-22 10:04:20.158758
TXN-db864fb7,27,michellehill@example.com,2025-10-01 10:04:20.160756,12383.94,11466.61,917.33,477.17,debit_card,completed,9,"3396 Melissa Loop Apt. 576, Mcneilberg, New York 5353",2025-12-22 10:04:20.160756
TXN-50a60362,28,molly71@example.net,2025-11-06 10:04:20.161755,2471.25,2288.19,183.06,214.59,credit_card,failed,4,"7809 Jimmy Spur Suite 316, Port Cynthiaville, New Hampshire 22306",2025-12-22 10:04:20.161755
TXN-eac8830c,70,carloshernandez@example.org,2025-12-21 10:04:20.163753,13443.41,12447.6,995.81,1207.39,debit_card,completed,9,"621 Alice Garden, New Alisha, Minnesota 35539",2025-12-22 10:04:20.163753
TXN-03fc0f88,53,david89@example.org,2025-10-02 10:04:20.165752,4964.79,4597.03,367.76,129.10999999999999,debit_card,completed,9,"49818 Brittany Prairie Apt. 299, Meganshire, Arizona 4219",2025-12-22 10:04:20.165752
TXN-c2841750,24,margaret10@example.org,2025-12-15 10:04:20.166752,17033.23,15771.51,1261.72,237.83,credit_card,completed,6,"065 Johnson Forks, Port Emilyview, Oregon 5774",2025-12-22 10:04:20.166752
TXN-f6b0fd07,25,thomaspearson@example.com,2025-12-14 10:04:20.167752,3277.67,3034.8799999999997,242.79,757.32,google_pay,completed,2,"1545 Tara Lodge, Lake Mollymouth, Nebraska 7605",2025-12-22 10:04:20.167752
TXN-5a59a60a,91,xcline@example.com,2025-10-16 10:04:20.168750,2043.88,1892.48,151.4,36.760000000000005,paypal,completed,3,"832 Sarah Burg, New Michael, Vermont 1758",2025-12-22 10:04:20.168750
TXN-390756b1,9,smithchristine@example.net,2025-10-17 10:04:20.170749,4622.09,4279.71,342.38,745.8000000000001,debit_card,completed,4,"808 Huynh Cove Apt. 411, West Juan, Indiana 94559",2025-12-22 10:04:20.170749
TXN-f0fae1a6,9,smithchristine@example.net,2025-11-23 10:04:20.171780,762.05,705.5999999999999,56.45,13.52,debit_card,completed,2,"808 Huynh Cove Apt. 411, West Juan, Indiana 94559",2025-12-22 10:04:20.171875
TXN-540953b6,92,blakenicholas@example.net,2025-12-18 10:04:20.172389,48.64,45.04,3.6,0.0,paypal,completed,1,"619 Ryan Curve, West Jose, Massachusetts 52006",2025-12-22 10:04:20.172389
TXN-57175329,47,jennifercarter@example.org,2025-10-23 10:04:20.173385,1362.26,1261.3500000000001,100.91,109.77,credit_card,completed,4,"0515 Jessica Road Apt. 952, West Amyburgh, Wyoming 90243",2025-12-22 10:04:20.173385
TXN-fe10df19,38,nicholaschavez@example.org,2025-11-01 10:04:20.175304,12085.56,11190.33,895.23,428.74,debit_card,completed,7,"81561 Gregory Ramp Suite 840, South Tracey, Arkansas 1508",2025-12-22 10:04:20.175304
TXN-dbd897de,64,jennifer64@example.org,2025-10-26 10:04:20.176811,2241.65,2075.6,166.05,208.32,credit_card,completed,2,"65676 Miller Shore, Lake Michelle, Delaware 23893",2025-12-22 10:04:20.176811
TXN-8c93ce00,47,jennifercarter@example.org,2025-10-22 10:04:20.177810,10288.03,9525.95,762.08,1898.57,credit_card,completed,8,"0515 Jessica Road Apt. 952, West Amyburgh, Wyoming 90243",2025-12-22 10:04:20.177810
TXN-bb7da977,74,hahnsean@example.com,2025-12-22 10:04:20.178809,96.33,89.19,7.14,4.69,google_pay,completed,1,"6618 Ashley Extension, Jacksonview, Maryland 35681",2025-12-22 10:04:20.178809
TXN-9029f03a,68,burgesskaren@example.org,2025-12-16 10:04:20.179808,4471.84,4140.59,331.25,53.55,debit_card,completed,8,"753 Edwards Cape, Lake Dustin, Kentucky 73024",2025-12-22 10:04:20.179808
TXN-8c42eef9,49,ykline@example.com,2025-10-30 10:04:20.180808,10861.25,10056.71,804.54,248.59,debit_card,completed,9,"447 Jackson Mills Suite 705, Hillton, California 88474",2025-12-22 10:04:20.180808
TXN-1beeb65d,41,michelle52@example.com,2025-12-13 10:04:20.182807,1306.75,1209.95,96.8,139.87,credit_card,completed,6,"986 Carpenter Turnpike, South Reginashire, Tennessee 25173",2025-12-22 10:04:20.182807
TXN-931c1c14,60,johnsantiago@example.net,2025-09-28 10:04:20.183806,14366.19,13302.03,1064.16,1226.68,paypal,completed,10,"345 Brewer Trafficway Apt. 938, East Robertburgh, Arizona 52535",2025-12-22 10:04:20.183806
TXN-29d081b1,93,louis43@example.org,2025-10-13 10:04:20.184805,1095.61,1014.45,81.16,0.0,credit_card,completed,2,"1124 Jason Walks Suite 213, Randyton, Utah 39670",2025-12-22 10:04:20.184805
TXN-da479119,84,melissa86@example.org,2025-10-02 10:04:20.186805,503.42,466.13,37.29,6.76,debit_card,completed,4,"27706 Wendy Curve, Erikview, Colorado 86299",2025-12-22 10:04:20.186805
TXN-c7ed6be5,72,enelson@example.net,2025-12-06 10:04:20.187804,234.78,217.39,17.39,54.35,debit_card,completed,1,"396 Reyes Streets, Port Vanessa, Washington 10780",2025-12-22 10:04:20.187804
TXN-cffb164d,46,samantha72@example.net,2025-10-28 10:04:20.188804,3206.78,2969.2400000000002,237.54,417.91,credit_card,completed,8,"1036 Brown Villages, Carlsontown, South Dakota 68052",2025-12-22 10:04:20.188804
TXN-77ff7885,27,michellehill@example.com,2025-09-26 10:04:20.189804,4767.82,4414.65,353.17,0.0,credit_card,completed,1,"3396 Melissa Loop Apt. 576, Mcneilberg, New York 5353",2025-12-22 10:04:20.189804
